track_name,track_id,track_popularity,track_duration_ms,artist_name,artist_id,artist_genre,artist_followers,artist_popularity,album_name,album_id,album_release_year,danceability,energy,key,key_name,mode,mode_name,loudness,speechiness,acousticness,tempo,time_signature,times_listened
Reflections,5Zf25eS8E1znm9mez4cGsm,70,130693,Toshifumi Hinata,08tfDO4dSrwxax35a3HIMC,japanese soundtrack,79473,52,ひとつぶの海,0k4j3uetJHFATIt4VxwCPz,1986,0.224,0.146,9,A,0,minor,-16.331,0.0338,0.961,94.255,3,22
Menuet,0NxCQL5OFodinhM1GO5dxi,59,106333,Toshifumi Hinata,08tfDO4dSrwxax35a3HIMC,japanese soundtrack,79473,52,ひとつぶの海,0k4j3uetJHFATIt4VxwCPz,1986,0.187,0.261,2,D,0,minor,-14.007,0.0442,0.959,100.311,4,20
Impromptu,6OUrCw4Hhu3BFui8WszkRu,36,161573,Toshifumi Hinata,08tfDO4dSrwxax35a3HIMC,japanese soundtrack,79473,52,ひとつぶの海,0k4j3uetJHFATIt4VxwCPz,1986,0.273,0.347,8,G#,1,major,-13.202,0.033,0.971,139.148,3,1
Passage,1E0yH4SqP3qkPIAjDUtdoT,42,253933,Toshifumi Hinata,08tfDO4dSrwxax35a3HIMC,japanese soundtrack,79473,52,ひとつぶの海,0k4j3uetJHFATIt4VxwCPz,1986,0.297,0.0971,7,G,0,minor,-16.049,0.0326,0.976,91.357,3,4
End of the Summer,3qlWyv2wrWHPNfDVbxXh4s,48,108733,Toshifumi Hinata,08tfDO4dSrwxax35a3HIMC,japanese soundtrack,79473,52,ひとつぶの海,0k4j3uetJHFATIt4VxwCPz,1986,0.428,0.00268,7,G,0,minor,-27.096,0.0634,0.996,71.744,5,2
Counterlight,0OeTotMJbLYetvJO9zbOel,28,291000,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Crystal Night,3BWRRerE82AJKql7FlRmWU,1987,0.717,0.725,4,E,0,minor,-13.575,0.0295,0.382,132.014,4,1
Super Chance,40bdXr1YzBNCNidHK8rVaf,25,275133,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Crystal Night,3BWRRerE82AJKql7FlRmWU,1987,0.713,0.599,6,F#,0,minor,-10.476,0.0288,0.377,133.471,4,4
Blue Reef,1K6xUVq7mnrTDN7w68zTrf,32,302133,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.613,0.559,5,F,1,major,-14.309,0.0336,0.198,92.933,4,1
Navigator,5qELO8N8QJprO96CTaBv3b,25,300560,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.533,0.806,0,C,1,major,-13.634,0.0486,0.223,196.04,4,1
Night Child,2Mu2wfSykSTe7MEiEg5Qqi,13,289773,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.533,0.317,2,D,1,major,-14.834,0.0303,0.414,137.847,4,4
Kimi ha 1000%,2SmSz0slyHIeeLxcKMj5jE,NA,251266,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.682,0.435,4,E,0,minor,-12.873,0.0291,0.616,131.936,4,14
21 Candles,7vzzfoP8QmB0oTftivdaBN,19,296866,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.659,0.646,5,F,1,major,-12.973,0.0377,0.193,115.056,4,1
Older Girl,3lmsq8LdfOOA6UlE3hFDPC,46,255960,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.665,0.875,7,G,1,major,-12.722,0.0402,0.0928,102.326,4,1
North Shore,5ut4vEYoLJmrcZAqFBvDFP,25,288840,1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,classic city pop,50131,38,Navigator,7G9VfKv9e1OmEQF0BByRK3,1986,0.657,0.522,0,C,1,major,-14.911,0.029,0.119,98.051,4,1
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,bebop,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,bossa nova,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,cool jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,jazz saxophone,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,latin jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,samba-jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
The Girl From Ipanema,3898C4AbdbptwYet6547e5,NA,321826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,vocal jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.664,0.194,5,F,0,minor,-15.487,0.0357,0.909,129.863,4,15
Doralice,2cDO2CnwjyXgKhgh6QcAaN,42,164826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,bebop,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.608,0.243,2,D,1,major,-13.401,0.0927,0.946,158.48,4,1
Doralice,2cDO2CnwjyXgKhgh6QcAaN,42,164826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,bossa nova,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.608,0.243,2,D,1,major,-13.401,0.0927,0.946,158.48,4,1
Doralice,2cDO2CnwjyXgKhgh6QcAaN,42,164826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,cool jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.608,0.243,2,D,1,major,-13.401,0.0927,0.946,158.48,4,1
Doralice,2cDO2CnwjyXgKhgh6QcAaN,42,164826,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,jazz,411847,62,The Girl From Ipanema - The Bossa Nova Years,4I26wT2bckDbv8Xl5iVInQ,1989,0.608,0.243,2,D,1,major,-13.401,0.0927,0.946,158.48,4,1
