genres,id,name,popularity,type,followers.total
japanese soundtrack,08tfDO4dSrwxax35a3HIMC,Toshifumi Hinata,52,artist,79524
classic city pop,0ECegKslGWO6zz3XzTyIwQ,1986 OMEGA TRIBE,38,artist,50162
bebop,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
bossa nova,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
cool jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
jazz saxophone,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
latin jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
samba-jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
vocal jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,62,artist,412069
blackgaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,52,artist,329753
doomgaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,52,artist,329753
dream pop,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,52,artist,329753
nu gaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,52,artist,329753
europop,0LcJLqbBmaGUft1e9Mm8HV,ABBA,77,artist,11345937
swedish pop,0LcJLqbBmaGUft1e9Mm8HV,ABBA,77,artist,11345937
city pop,0O1UtbTe4ca7HabaiMhYZ7,KIRINJI,47,artist,204110
j-rock,0O1UtbTe4ca7HabaiMhYZ7,KIRINJI,47,artist,204110
j-rock,0X9vdekJ6sIKcUvwIgVsjW,OGRE YOU ASSHOLE,30,artist,70757
japanese post-punk,0X9vdekJ6sIKcUvwIgVsjW,OGRE YOU ASSHOLE,30,artist,70757
japanese post-rock,0X9vdekJ6sIKcUvwIgVsjW,OGRE YOU ASSHOLE,30,artist,70757
pov: indie,0Y6dVaC9DZtPNH4591M42W,TV Girl,79,artist,4130541
alternative hip hop,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,69,artist,569284
drumless hip hop,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,69,artist,569284
hip hop,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,69,artist,569284
instrumental hip hop,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,69,artist,569284
west coast rap,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,69,artist,569284
alternative rock,0epOFNiUfyON9EYx7Tpr6V,The Strokes,73,artist,5339946
garage rock,0epOFNiUfyON9EYx7Tpr6V,The Strokes,73,artist,5339946
modern rock,0epOFNiUfyON9EYx7Tpr6V,The Strokes,73,artist,5339946
permanent wave,0epOFNiUfyON9EYx7Tpr6V,The Strokes,73,artist,5339946
rock,0epOFNiUfyON9EYx7Tpr6V,The Strokes,73,artist,5339946
classic city pop,0gT302jqzDIhNWY8YpzDCs,Momoko Kikuchi,40,artist,32273
idol kayo,0gT302jqzDIhNWY8YpzDCs,Momoko Kikuchi,40,artist,32273
album rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
art rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
classic rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
progressive rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
psychedelic rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
symphonic rock,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,77,artist,19938189
japanese alternative pop,0rFHElzeddB9ymDjgpBENX,Lamp,63,artist,883264
classic city pop,0xGtOrmB2hnrNRLG3vhpSo,Anri,55,artist,323450
folktronica,0zGRuj0aQ3mM6i2dQoO8h0,Mid-Air Thief,37,artist,82749
korean indie rock,0zGRuj0aQ3mM6i2dQoO8h0,Mid-Air Thief,37,artist,82749
indie anthem-folk,12j6dJrPXanCBwY599pZxf,Matt Maltese,66,artist,458122
indie pop,12j6dJrPXanCBwY599pZxf,Matt Maltese,66,artist,458122
pov: indie,12j6dJrPXanCBwY599pZxf,Matt Maltese,66,artist,458122
japanese math rock,16gEZTmX8wNpdWCgD28LRx,Österreich,36,artist,35473
